LexToken(COMMENTBLOCK,'/* Block comment example\nThis is a test for the block comment token.\n*/',2,1)
LexToken(DIVIDE,'/',4,74)
LexToken(DIVIDE,'/',4,75)
LexToken(VARIABLE,'Line',4,76)
LexToken(VARIABLE,'comment',4,81)
LexToken(VARIABLE,'example',4,89)
LexToken(VARIABLE,'public',5,97)
LexToken(VARIABLE,'class',5,104)
LexToken(VARIABLE,'TestClass',5,110)
LexToken(LBRACE,'{',5,120)
LexToken(VARIABLE,'private',6,126)
LexToken(INT,'int',6,134)
LexToken(VARIABLE,'number',6,138)
LexToken(EQUALS,'=',6,145)
LexToken(NUMBER,42,6,147)
LexToken(DOTCOMMA,';',6,149)
LexToken(VARIABLE,'public',7,155)
LexToken(DOUBLE,'double',7,162)
LexToken(VARIABLE,'decimalNumber',7,169)
LexToken(EQUALS,'=',7,183)
LexToken(FLOAT,3.14,7,185)
LexToken(DOTCOMMA,';',7,189)
LexToken(VARIABLE,'protected',8,195)
LexToken(VARIABLE,'isValid',8,205)
LexToken(EQUALS,'=',8,213)
LexToken(TRUE,'True',8,215)
LexToken(DOTCOMMA,';',8,219)
LexToken(VARIABLE,'static',9,225)
LexToken(VARIABLE,'final',9,232)
LexToken(STRING,'String',9,238)
LexToken(VARIABLE,'CONSTANT_STRING',9,245)
LexToken(EQUALS,'=',9,261)
LexToken(CHAINCHAR,'"Hello"',9,263)
LexToken(DOTCOMMA,';',9,270)
LexToken(VARIABLE,'private',10,276)
LexToken(LIST,'List',10,284)
LexToken(LANGLE,'<',10,288)
LexToken(VARIABLE,'Integer',10,289)
LexToken(RANGLE,'>',10,296)
LexToken(VARIABLE,'myList',10,298)
LexToken(EQUALS,'=',10,305)
LexToken(VARIABLE,'new',10,307)
LexToken(VARIABLE,'ArrayList',10,311)
LexToken(LANGLE,'<',10,320)
LexToken(RANGLE,'>',10,321)
LexToken(LPAREN,'(',10,322)
LexToken(RPAREN,')',10,323)
LexToken(DOTCOMMA,';',10,324)
