LexToken(VARIABLE,'localVar',98,980)
LexToken(RANGLE,'>',98,989)
LexToken(NUMBER,0,98,991)
LexToken(RPAREN,')',98,992)
LexToken(LBRACE,'{',98,994)
LexToken(VARIABLE,'localVar',99,1008)
LexToken(MINUS,'-',99,1016)
LexToken(MINUS,'-',99,1017)
LexToken(DOTCOMMA,';',99,1018)
LexToken(RBRACE,'}',100,1028)
LexToken(SWITCH,'switch',102,1039)
LexToken(LPAREN,'(',102,1046)
LexToken(VARIABLE,'localVar',102,1047)
LexToken(RPAREN,')',102,1055)
LexToken(LBRACE,'{',102,1057)
LexToken(CASE,'case',103,1071)
LexToken(NUMBER,0,103,1076)
LexToken(TWODOTS,':',103,1077)
LexToken(PRINT,'print',104,1095)
LexToken(LPAREN,'(',104,1100)
LexToken(CHAINCHAR,'"localVar is zero"',104,1101)
LexToken(RPAREN,')',104,1119)
LexToken(DOTCOMMA,';',104,1120)
LexToken(BREAK,'break',105,1138)
LexToken(DOTCOMMA,';',105,1143)
LexToken(DEFAULT,'default',106,1157)
LexToken(TWODOTS,':',106,1164)
LexToken(PRINT,'print',107,1182)
LexToken(LPAREN,'(',107,1187)
LexToken(CHAINCHAR,'"localVar is not zero"',107,1188)
LexToken(RPAREN,')',107,1210)
LexToken(DOTCOMMA,';',107,1211)
LexToken(BREAK,'break',108,1229)
LexToken(DOTCOMMA,';',108,1234)
LexToken(RBRACE,'}',109,1244)
LexToken(TRY,'try',111,1255)
LexToken(LBRACE,'{',111,1259)
LexToken(INT,'int',112,1273)
LexToken(VARIABLE,'result',112,1277)
LexToken(EQUALS,'=',112,1284)
LexToken(VARIABLE,'localVar',112,1286)
LexToken(DIVIDE,'/',112,1295)
LexToken(NUMBER,0,112,1297)
LexToken(DOTCOMMA,';',112,1298)
LexToken(RBRACE,'}',113,1308)
LexToken(CATCH,'catch',113,1310)
LexToken(LPAREN,'(',113,1316)
LexToken(NEWDATATYPE,'ArithmeticException',113,1317)
LexToken(VARIABLE,'e',113,1337)
LexToken(RPAREN,')',113,1338)
LexToken(LBRACE,'{',113,1340)
LexToken(PRINT,'print',114,1354)
LexToken(LPAREN,'(',114,1359)
LexToken(CHAINCHAR,'"Division by zero!"',114,1360)
LexToken(RPAREN,')',114,1379)
LexToken(DOTCOMMA,';',114,1380)
LexToken(RBRACE,'}',115,1390)
LexToken(FINALLY,'finally',115,1392)
LexToken(LBRACE,'{',115,1400)
LexToken(PRINT,'print',116,1414)
LexToken(LPAREN,'(',116,1419)
LexToken(CHAINCHAR,'"End of try-catch block"',116,1420)
LexToken(RPAREN,')',116,1444)
LexToken(DOTCOMMA,';',116,1445)
LexToken(RBRACE,'}',117,1455)
LexToken(VARIABLE,'number',119,1466)
LexToken(EQUALS,'=',119,1473)
LexToken(LPAREN,'(',119,1475)
LexToken(INT,'int',119,1476)
LexToken(RPAREN,')',119,1479)
LexToken(VARIABLE,'pi',119,1481)
LexToken(DOTCOMMA,';',119,1483)
LexToken(commentLine,'// Casting',119,1485)
LexToken(VARIABLE,'myMap',120,1504)
LexToken(DATAATTRIBUTE,'.put',120,1509)
LexToken(LPAREN,'(',120,1513)
LexToken(CHAINCHAR,'"Key"',120,1514)
LexToken(COMMA,',',120,1519)
LexToken(NUMBER,123,120,1521)
LexToken(RPAREN,')',120,1524)
LexToken(DOTCOMMA,';',120,1525)
LexToken(commentLine,'// Check reserved words',122,1536)
LexToken(VARIABLE,'nullCheck',123,1568)
LexToken(LPAREN,'(',123,1577)
LexToken(NULL,'null',123,1578)
LexToken(RPAREN,')',123,1582)
LexToken(DOTCOMMA,';',123,1583)
LexToken(FUNCTION,'thisCheck(this)',124,1593)
LexToken(DOTCOMMA,';',124,1608)
LexToken(VARIABLE,'superCheck',125,1618)
LexToken(LPAREN,'(',125,1628)
LexToken(SUPER,'super',125,1629)
LexToken(FUNCTION,'.toString()',125,1634)
LexToken(RPAREN,')',125,1645)
LexToken(DOTCOMMA,';',125,1646)
LexToken(PRINT,'print',127,1657)
LexToken(LPAREN,'(',127,1662)
LexToken(VARIABLE,'greeting',127,1663)
LexToken(PLUS,'+',127,1672)
LexToken(CHAINCHAR,'" "',127,1674)
LexToken(PLUS,'+',127,1678)
LexToken(VARIABLE,'initial',127,1680)
LexToken(PLUS,'+',127,1688)
LexToken(CHAINCHAR,"'!'",127,1690)
LexToken(RPAREN,')',127,1693)
LexToken(DOTCOMMA,';',127,1694)
LexToken(RBRACE,'}',128,1700)
LexToken(PRIVATE,'private',130,1707)
LexToken(VOID,'void',130,1715)
LexToken(VARIABLE,'nullCheck',130,1720)
LexToken(LPAREN,'(',130,1729)
LexToken(NEWDATATYPE,'Object',130,1730)
LexToken(VARIABLE,'obj',130,1737)
LexToken(RPAREN,')',130,1740)
LexToken(LBRACE,'{',130,1742)
LexToken(IF,'if',131,1752)
LexToken(LPAREN,'(',131,1755)
LexToken(VARIABLE,'obj',131,1756)
LexToken(EQUALS,'=',131,1760)
LexToken(EQUALS,'=',131,1761)
LexToken(NULL,'null',131,1763)
LexToken(RPAREN,')',131,1767)
LexToken(LBRACE,'{',131,1769)
LexToken(PRINT,'print',132,1783)
LexToken(LPAREN,'(',132,1788)
LexToken(CHAINCHAR,'"Object is null"',132,1789)
LexToken(RPAREN,')',132,1805)
LexToken(DOTCOMMA,';',132,1806)
LexToken(RBRACE,'}',133,1816)
LexToken(RBRACE,'}',134,1822)
LexToken(PRIVATE,'private',136,1829)
LexToken(VOID,'void',136,1837)
LexToken(VARIABLE,'thisCheck',136,1842)
