LexToken(VOID,'void',95,1)
LexToken(MAIN,'main',95,6)
LexToken(LPAREN,'(',95,10)
LexToken(RPAREN,')',95,11)
LexToken(LBRACE,'{',95,13)
LexToken(INT,'int',96,17)
LexToken(VARIABLE,'num1',96,21)
LexToken(EQUALS,'=',96,26)
LexToken(NUMBER,10,96,28)
LexToken(DOTCOMMA,';',96,30)
LexToken(INT,'int',97,34)
LexToken(VARIABLE,'num2',97,38)
LexToken(EQUALS,'=',97,43)
LexToken(NUMBER,5,97,45)
LexToken(DOTCOMMA,';',97,46)
LexToken(COMMENTLINE,'// Operación de suma',99,51)
LexToken(INT,'int',100,74)
LexToken(VARIABLE,'resultadoSuma',100,78)
LexToken(EQUALS,'=',100,92)
LexToken(DOLLAR,'$',100,94)
LexToken(VARIABLE,'num1',100,95)
LexToken(PLUS,'+',100,100)
LexToken(DOLLAR,'$',100,102)
LexToken(VARIABLE,'num2',100,103)
LexToken(DOTCOMMA,';',100,107)
LexToken(COMMENTLINE,'// Operación de resta',102,114)
LexToken(INT,'int',103,138)
LexToken(VARIABLE,'resultadoResta',103,142)
LexToken(EQUALS,'=',103,157)
LexToken(DOLLAR,'$',103,159)
LexToken(VARIABLE,'num1',103,160)
LexToken(MINUS,'-',103,165)
LexToken(DOLLAR,'$',103,167)
LexToken(VARIABLE,'num2',103,168)
LexToken(DOTCOMMA,';',103,172)
LexToken(COMMENTLINE,'// Verificación del resultado de la suma',105,177)
LexToken(IF,'if',106,220)
LexToken(LPAREN,'(',106,223)
LexToken(DOLLAR,'$',106,224)
LexToken(VARIABLE,'resultadoSuma',106,225)
LexToken(RANGLE,'>',106,239)
LexToken(NUMBER,0,106,241)
LexToken(RPAREN,')',106,242)
LexToken(LBRACE,'{',106,244)
LexToken(PRINT,'print',107,250)
LexToken(LPAREN,'(',107,255)
LexToken(CHAINCHAR,'"La suma de $num1 y $num2 es positiva: $resultadoSuma"',107,256)
LexToken(RPAREN,')',107,310)
LexToken(DOTCOMMA,';',107,311)
LexToken(RBRACE,'}',108,315)
LexToken(ELSE,'else',108,317)
LexToken(IF,'if',108,322)
LexToken(LPAREN,'(',108,325)
LexToken(DOLLAR,'$',108,326)
LexToken(VARIABLE,'resultadoSuma',108,327)
LexToken(LANGLE,'<',108,341)
LexToken(NUMBER,0,108,343)
LexToken(RPAREN,')',108,344)
LexToken(LBRACE,'{',108,346)
LexToken(PRINT,'print',109,352)
LexToken(LPAREN,'(',109,357)
LexToken(CHAINCHAR,'"La suma de $num1 y $num2 es negativa: $resultadoSuma"',109,358)
LexToken(RPAREN,')',109,412)
LexToken(DOTCOMMA,';',109,413)
LexToken(RBRACE,'}',110,417)
LexToken(ELSE,'else',110,419)
LexToken(LBRACE,'{',110,424)
LexToken(PRINT,'print',111,430)
LexToken(LPAREN,'(',111,435)
LexToken(CHAINCHAR,'"La suma de $num1 y $num2 es cero."',111,436)
LexToken(RPAREN,')',111,471)
LexToken(DOTCOMMA,';',111,472)
LexToken(RBRACE,'}',112,476)
LexToken(COMMENTLINE,'// Verificación del resultado de la resta',114,481)
LexToken(IF,'if',115,525)
LexToken(LPAREN,'(',115,528)
LexToken(DOLLAR,'$',115,529)
LexToken(VARIABLE,'resultadoResta',115,530)
LexToken(RANGLE,'>',115,545)
LexToken(NUMBER,0,115,547)
LexToken(RPAREN,')',115,548)
LexToken(LBRACE,'{',115,550)
LexToken(PRINT,'print',116,556)
LexToken(LPAREN,'(',116,561)
LexToken(CHAINCHAR,'"La resta de $num1 y $num2 es positiva: $resultadoResta"',116,562)
LexToken(RPAREN,')',116,618)
LexToken(DOTCOMMA,';',116,619)
LexToken(RBRACE,'}',117,623)
LexToken(ELSE,'else',117,625)
LexToken(IF,'if',117,630)
LexToken(LPAREN,'(',117,633)
LexToken(DOLLAR,'$',117,634)
LexToken(VARIABLE,'resultadoResta',117,635)
LexToken(LANGLE,'<',117,650)
LexToken(NUMBER,0,117,652)
LexToken(RPAREN,')',117,653)
LexToken(LBRACE,'{',117,655)
LexToken(PRINT,'print',118,661)
LexToken(LPAREN,'(',118,666)
LexToken(CHAINCHAR,'"La resta de $num1 y $num2 es negativa: $resultadoResta"',118,667)
LexToken(RPAREN,')',118,723)
LexToken(DOTCOMMA,';',118,724)
LexToken(RBRACE,'}',119,728)
LexToken(ELSE,'else',119,730)
LexToken(LBRACE,'{',119,735)
LexToken(PRINT,'print',120,741)
LexToken(LPAREN,'(',120,746)
LexToken(CHAINCHAR,'"La resta de $num1 y $num2 es cero."',120,747)
LexToken(RPAREN,')',120,783)
LexToken(DOTCOMMA,';',120,784)
LexToken(RBRACE,'}',121,788)
LexToken(RBRACE,'}',122,790)
