LexToken(VARIABLE,'localVar',35,876)
LexToken(RPAREN,')',35,884)
LexToken(LBRACE,'{',35,886)
LexToken(CASE,'case',36,900)
LexToken(NUMBER,0,36,905)
LexToken(TWODOTS,':',36,906)
LexToken(PRINT,'print',37,924)
LexToken(LPAREN,'(',37,929)
LexToken(CHAINCHAR,'"localVar is zero"',37,930)
LexToken(RPAREN,')',37,948)
LexToken(DOTCOMMA,';',37,949)
LexToken(BREAK,'break',38,967)
LexToken(DOTCOMMA,';',38,972)
LexToken(RBRACE,'}',39,982)
LexToken(RBRACE,'}',41,989)
LexToken(VOID,'void',43,996)
LexToken(VARIABLE,'nullCheck',43,1001)
LexToken(LPAREN,'(',43,1010)
LexToken(DOLLAR,'$',43,1011)
LexToken(VARIABLE,'obj',43,1012)
LexToken(RPAREN,')',43,1015)
LexToken(LBRACE,'{',43,1017)
LexToken(IF,'if',44,1027)
LexToken(LPAREN,'(',44,1030)
LexToken(VARIABLE,'obj',44,1031)
LexToken(EQUALS,'=',44,1035)
LexToken(EQUALS,'=',44,1036)
LexToken(VARIABLE,'obj',44,1038)
LexToken(RPAREN,')',44,1041)
LexToken(LBRACE,'{',44,1043)
LexToken(PRINT,'print',45,1057)
LexToken(LPAREN,'(',45,1062)
LexToken(CHAINCHAR,'"var is obj"',45,1063)
LexToken(RPAREN,')',45,1075)
LexToken(DOTCOMMA,';',45,1076)
LexToken(RBRACE,'}',46,1086)
LexToken(RBRACE,'}',47,1092)
LexToken(VOID,'void',49,1099)
LexToken(VARIABLE,'thisCheck',49,1104)
LexToken(LPAREN,'(',49,1113)
LexToken(DOLLAR,'$',49,1114)
LexToken(VARIABLE,'obj',49,1115)
LexToken(RPAREN,')',49,1118)
LexToken(LBRACE,'{',49,1120)
LexToken(IF,'if',50,1130)
LexToken(LPAREN,'(',50,1133)
LexToken(VARIABLE,'obj',50,1134)
LexToken(EQUALS,'=',50,1138)
LexToken(EQUALS,'=',50,1139)
LexToken(VARIABLE,'obj',50,1141)
LexToken(RPAREN,')',50,1144)
LexToken(LBRACE,'{',50,1146)
LexToken(PRINT,'print',51,1160)
LexToken(LPAREN,'(',51,1165)
LexToken(CHAINCHAR,'"This object"',51,1166)
LexToken(RPAREN,')',51,1179)
LexToken(DOTCOMMA,';',51,1180)
LexToken(RBRACE,'}',52,1190)
LexToken(RBRACE,'}',53,1196)
LexToken(VOID,'void',55,1203)
LexToken(PRINT,'print',55,1208)
LexToken(LPAREN,'(',55,1213)
LexToken(DOLLAR,'$',55,1214)
LexToken(VARIABLE,'message',55,1215)
LexToken(RPAREN,')',55,1222)
LexToken(LBRACE,'{',55,1224)
LexToken(PRINT,'print',56,1234)
LexToken(LPAREN,'(',56,1239)
LexToken(VARIABLE,'message',56,1240)
LexToken(RPAREN,')',56,1247)
LexToken(DOTCOMMA,';',56,1248)
LexToken(RBRACE,'}',57,1254)
LexToken(RBRACE,'}',58,1256)
