LexToken(COMMENTBLOCK,'/* Block comment example\nThis is a test for the block comment token.\n*/',2,1)
LexToken(MINUS,'-',36,910)
LexToken(MINUS,'-',36,911)
LexToken(DOTCOMMA,';',36,912)
LexToken(RBRACE,'}',37,922)
LexToken(SWITCH,'switch',39,933)
LexToken(LPAREN,'(',39,940)
LexToken(VARIABLE,'localVar',39,941)
LexToken(RPAREN,')',39,949)
LexToken(LBRACE,'{',39,951)
LexToken(CASE,'case',40,965)
LexToken(NUMBER,0,40,970)
LexToken(TWODOTS,':',40,971)
LexToken(PRINT,'print',41,989)
LexToken(LPAREN,'(',41,994)
LexToken(CHAINCHAR,'"localVar is zero"',41,995)
LexToken(RPAREN,')',41,1013)
LexToken(DOTCOMMA,';',41,1014)
LexToken(BREAK,'break',42,1032)
LexToken(DOTCOMMA,';',42,1037)
LexToken(VARIABLE,'default',43,1051)
LexToken(TWODOTS,':',43,1058)
LexToken(PRINT,'print',44,1076)
LexToken(LPAREN,'(',44,1081)
LexToken(CHAINCHAR,'"localVar is not zero"',44,1082)
LexToken(RPAREN,')',44,1104)
LexToken(DOTCOMMA,';',44,1105)
LexToken(BREAK,'break',45,1123)
LexToken(DOTCOMMA,';',45,1128)
LexToken(RBRACE,'}',46,1138)
LexToken(VARIABLE,'try',48,1149)
LexToken(LBRACE,'{',48,1153)
LexToken(INT,'int',49,1167)
LexToken(VARIABLE,'result',49,1171)
LexToken(EQUALS,'=',49,1178)
LexToken(VARIABLE,'localVar',49,1180)
LexToken(DIVIDE,'/',49,1189)
LexToken(NUMBER,0,49,1191)
LexToken(DOTCOMMA,';',49,1192)
LexToken(RBRACE,'}',50,1202)
LexToken(VARIABLE,'catch',50,1204)
LexToken(LPAREN,'(',50,1210)
LexToken(VARIABLE,'Exception',50,1211)
LexToken(VARIABLE,'e',50,1221)
LexToken(RPAREN,')',50,1222)
LexToken(LBRACE,'{',50,1224)
LexToken(PRINT,'print',51,1238)
LexToken(LPAREN,'(',51,1243)
LexToken(CHAINCHAR,'"Division by zero!"',51,1244)
LexToken(RPAREN,')',51,1263)
LexToken(DOTCOMMA,';',51,1264)
LexToken(RBRACE,'}',52,1274)
LexToken(LBRACE,'{',52,1276)
LexToken(PRINT,'print',53,1290)
LexToken(LPAREN,'(',53,1295)
LexToken(CHAINCHAR,'"End of try-catch block"',53,1296)
LexToken(RPAREN,')',53,1320)
LexToken(DOTCOMMA,';',53,1321)
LexToken(RBRACE,'}',54,1331)
LexToken(VARIABLE,'number',56,1342)
LexToken(EQUALS,'=',56,1349)
LexToken(LPAREN,'(',56,1351)
LexToken(INT,'int',56,1352)
LexToken(RPAREN,')',56,1355)
LexToken(VARIABLE,'pi',56,1357)
LexToken(DOTCOMMA,';',56,1359)
LexToken(COMMENTLINE,'// Casting',56,1361)
LexToken(VARIABLE,'myMap',57,1380)
LexToken(DOT,'.',57,1385)
LexToken(VARIABLE,'put',57,1386)
LexToken(LPAREN,'(',57,1389)
LexToken(CHAINCHAR,'"Key"',57,1390)
LexToken(COMMA,',',57,1395)
LexToken(NUMBER,123,57,1397)
LexToken(RPAREN,')',57,1400)
LexToken(DOTCOMMA,';',57,1401)
LexToken(PRINT,'print',59,1412)
LexToken(LPAREN,'(',59,1417)
LexToken(VARIABLE,'greeting',59,1418)
LexToken(PLUS,'+',59,1427)
LexToken(CHAINCHAR,'" "',59,1429)
LexToken(PLUS,'+',59,1433)
LexToken(DOLLAR,'$',59,1435)
LexToken(VARIABLE,'initial',59,1436)
LexToken(PLUS,'+',59,1444)
LexToken(CHAINCHAR,"'!'",59,1446)
LexToken(RPAREN,')',59,1449)
LexToken(DOTCOMMA,';',59,1450)
LexToken(RBRACE,'}',60,1456)
LexToken(VOID,'void',62,1463)
LexToken(VARIABLE,'nullCheck',62,1468)
LexToken(LPAREN,'(',62,1477)
LexToken(VAR,'var',62,1478)
LexToken(VARIABLE,'obj',62,1482)
LexToken(RPAREN,')',62,1485)
LexToken(LBRACE,'{',62,1487)
LexToken(IF,'if',63,1497)
LexToken(LPAREN,'(',63,1500)
LexToken(VARIABLE,'obj',63,1501)
LexToken(EQUALS,'=',63,1505)
LexToken(EQUALS,'=',63,1506)
LexToken(VARIABLE,'obj',63,1508)
LexToken(RPAREN,')',63,1511)
LexToken(LBRACE,'{',63,1513)
LexToken(PRINT,'print',64,1527)
LexToken(LPAREN,'(',64,1532)
LexToken(CHAINCHAR,'"var is obj"',64,1533)
LexToken(RPAREN,')',64,1545)
LexToken(DOTCOMMA,';',64,1546)
LexToken(RBRACE,'}',65,1556)
LexToken(RBRACE,'}',66,1562)
LexToken(VOID,'void',68,1569)
LexToken(VARIABLE,'thisCheck',68,1574)
LexToken(LPAREN,'(',68,1583)
LexToken(MAIN,'main',68,1584)
LexToken(VARIABLE,'obj',68,1589)
LexToken(RPAREN,')',68,1592)
LexToken(LBRACE,'{',68,1594)
LexToken(IF,'if',69,1604)
LexToken(LPAREN,'(',69,1607)
LexToken(VARIABLE,'obj',69,1608)
LexToken(EQUALS,'=',69,1612)
LexToken(EQUALS,'=',69,1613)
LexToken(VARIABLE,'obj',69,1615)
LexToken(RPAREN,')',69,1618)
LexToken(LBRACE,'{',69,1620)
LexToken(PRINT,'print',70,1634)
LexToken(LPAREN,'(',70,1639)
LexToken(CHAINCHAR,'"This object"',70,1640)
LexToken(RPAREN,')',70,1653)
LexToken(DOTCOMMA,';',70,1654)
LexToken(RBRACE,'}',71,1664)
LexToken(RBRACE,'}',72,1670)
LexToken(VOID,'void',74,1677)
LexToken(PRINT,'print',74,1682)
LexToken(LPAREN,'(',74,1687)
LexToken(STRING,'String',74,1688)
LexToken(VARIABLE,'message',74,1695)
LexToken(RPAREN,')',74,1702)
LexToken(LBRACE,'{',74,1704)
LexToken(PRINT,'print',75,1714)
LexToken(LPAREN,'(',75,1719)
LexToken(VARIABLE,'message',75,1720)
LexToken(RPAREN,')',75,1727)
LexToken(DOTCOMMA,';',75,1728)
LexToken(RBRACE,'}',76,1734)
LexToken(RBRACE,'}',77,1736)
