LexToken(NUMBER,0,98,874)
LexToken(RPAREN,')',98,875)
LexToken(LBRACE,'{',98,877)
LexToken(VARIABLE,'localVar',99,891)
LexToken(MINUS,'-',99,899)
LexToken(MINUS,'-',99,900)
LexToken(DOTCOMMA,';',99,901)
LexToken(RBRACE,'}',100,911)
LexToken(SWITCH,'switch',102,922)
LexToken(LPAREN,'(',102,929)
LexToken(VARIABLE,'localVar',102,930)
LexToken(RPAREN,')',102,938)
LexToken(LBRACE,'{',102,940)
LexToken(CASE,'case',103,954)
LexToken(NUMBER,0,103,959)
LexToken(TWODOTS,':',103,960)
LexToken(PRINT,'print',104,978)
LexToken(LPAREN,'(',104,983)
LexToken(CHAINCHAR,'"localVar is zero"',104,984)
LexToken(RPAREN,')',104,1002)
LexToken(DOTCOMMA,';',104,1003)
LexToken(BREAK,'break',105,1021)
LexToken(DOTCOMMA,';',105,1026)
LexToken(VARIABLE,'default',106,1040)
LexToken(TWODOTS,':',106,1047)
LexToken(PRINT,'print',107,1065)
LexToken(LPAREN,'(',107,1070)
LexToken(CHAINCHAR,'"localVar is not zero"',107,1071)
LexToken(RPAREN,')',107,1093)
LexToken(DOTCOMMA,';',107,1094)
LexToken(BREAK,'break',108,1112)
LexToken(DOTCOMMA,';',108,1117)
LexToken(RBRACE,'}',109,1127)
LexToken(VARIABLE,'try',111,1138)
LexToken(LBRACE,'{',111,1142)
LexToken(INT,'int',112,1156)
LexToken(VARIABLE,'result',112,1160)
LexToken(EQUALS,'=',112,1167)
LexToken(VARIABLE,'localVar',112,1169)
LexToken(DIVIDE,'/',112,1178)
LexToken(NUMBER,0,112,1180)
LexToken(DOTCOMMA,';',112,1181)
LexToken(RBRACE,'}',113,1191)
LexToken(VARIABLE,'catch',113,1193)
LexToken(LPAREN,'(',113,1199)
LexToken(VARIABLE,'Exception',113,1200)
LexToken(VARIABLE,'e',113,1210)
LexToken(RPAREN,')',113,1211)
LexToken(LBRACE,'{',113,1213)
LexToken(PRINT,'print',114,1227)
LexToken(LPAREN,'(',114,1232)
LexToken(CHAINCHAR,'"Division by zero!"',114,1233)
LexToken(RPAREN,')',114,1252)
LexToken(DOTCOMMA,';',114,1253)
LexToken(RBRACE,'}',115,1263)
LexToken(LBRACE,'{',115,1265)
LexToken(PRINT,'print',116,1279)
LexToken(LPAREN,'(',116,1284)
LexToken(CHAINCHAR,'"End of try-catch block"',116,1285)
LexToken(RPAREN,')',116,1309)
LexToken(DOTCOMMA,';',116,1310)
LexToken(RBRACE,'}',117,1320)
LexToken(VARIABLE,'number',119,1331)
LexToken(EQUALS,'=',119,1338)
LexToken(LPAREN,'(',119,1340)
LexToken(INT,'int',119,1341)
LexToken(RPAREN,')',119,1344)
LexToken(VARIABLE,'pi',119,1346)
LexToken(DOTCOMMA,';',119,1348)
LexToken(DIVIDE,'/',119,1350)
LexToken(DIVIDE,'/',119,1351)
LexToken(VARIABLE,'Casting',119,1353)
LexToken(VARIABLE,'myMap',120,1369)
LexToken(DOT,'.',120,1374)
LexToken(VARIABLE,'put',120,1375)
LexToken(LPAREN,'(',120,1378)
LexToken(CHAINCHAR,'"Key"',120,1379)
LexToken(COMMA,',',120,1384)
LexToken(NUMBER,123,120,1386)
LexToken(RPAREN,')',120,1389)
LexToken(DOTCOMMA,';',120,1390)
LexToken(PRINT,'print',122,1401)
LexToken(LPAREN,'(',122,1406)
LexToken(VARIABLE,'greeting',122,1407)
LexToken(PLUS,'+',122,1416)
LexToken(CHAINCHAR,'" "',122,1418)
LexToken(PLUS,'+',122,1422)
LexToken(DOLLAR,'$',122,1424)
LexToken(VARIABLE,'initial',122,1425)
LexToken(PLUS,'+',122,1433)
LexToken(CHAINCHAR,"'!'",122,1435)
LexToken(RPAREN,')',122,1438)
LexToken(DOTCOMMA,';',122,1439)
LexToken(RBRACE,'}',123,1445)
LexToken(VOID,'void',125,1452)
LexToken(VARIABLE,'nullCheck',125,1457)
LexToken(LPAREN,'(',125,1466)
